1
n03p009
start = 20
side = 1500, cnt = 1, no_opt = 1.01032, opt = 0.557613, speedup = 1.81186
side = 1520, cnt = 1, no_opt = 0.94886, opt = 0.484456, speedup = 1.95861
side = 1540, cnt = 1, no_opt = 1.17992, opt = 0.650944, speedup = 1.81262
side = 1560, cnt = 1, no_opt = 1.01939, opt = 0.553044, speedup = 1.84323
side = 1580, cnt = 1, no_opt = 1.28833, opt = 0.670242, speedup = 1.92219
side = 1600, cnt = 1, no_opt = 1.20958, opt = 0.691308, speedup = 1.74969
side = 1620, cnt = 1, no_opt = 1.26267, opt = 0.707933, speedup = 1.7836
side = 1640, cnt = 1, no_opt = 1.21837, opt = 0.671478, speedup = 1.81446
side = 1660, cnt = 1, no_opt = 1.37686, opt = 0.75964, speedup = 1.81251
side = 1680, cnt = 1, no_opt = 1.28544, opt = 0.749205, speedup = 1.71573
side = 1700, cnt = 1, no_opt = 1.49907, opt = 0.829489, speedup = 1.80722
side = 1720, cnt = 1, no_opt = 1.3544, opt = 0.803388, speedup = 1.68586
side = 1740, cnt = 1, no_opt = 1.49952, opt = 0.842089, speedup = 1.78071
side = 1760, cnt = 1, no_opt = 1.42164, opt = 0.818652, speedup = 1.73656
side = 1780, cnt = 1, no_opt = 1.50885, opt = 0.84691, speedup = 1.78159
side = 1800, cnt = 1, no_opt = 1.44605, opt = 0.863217, speedup = 1.67519
side = 1820, cnt = 1, no_opt = 1.45995, opt = 0.852816, speedup = 1.71191
side = 1840, cnt = 1, no_opt = 1.62889, opt = 0.944914, speedup = 1.72385
side = 1860, cnt = 1, no_opt = 1.74618, opt = 1.04487, speedup = 1.67119
side = 1880, cnt = 1, no_opt = 1.59635, opt = 0.94272, speedup = 1.69335
side = 1900, cnt = 1, no_opt = 1.74546, opt = 1.1053, speedup = 1.57918
side = 1920, cnt = 1, no_opt = 1.69312, opt = 0.958377, speedup = 1.76666
side = 1940, cnt = 1, no_opt = 1.98137, opt = 1.1556, speedup = 1.71457
side = 1960, cnt = 1, no_opt = 1.79303, opt = 1.01401, speedup = 1.76825
side = 1980, cnt = 1, no_opt = 1.87128, opt = 1.1538, speedup = 1.62184
side = 2000, cnt = 1, no_opt = 1.78743, opt = 1.06263, speedup = 1.68207
