side = 1520, ath = 0.290873, cmp = 0.393549, gth = 0.373029, sct = 0.222334
side = 1540, ath = 0.310203, cmp = 0.426721, gth = 0.403132, sct = 0.234545
side = 1560, ath = 0.317385, cmp = 0.428594, gth = 0.406394, sct = 0.2429
side = 1580, ath = 0.348831, cmp = 0.47601, gth = 0.450423, sct = 0.265138
side = 1600, ath = 0.346396, cmp = 0.46971, gth = 0.445019, sct = 0.26438
side = 1620, ath = 0.34376, cmp = 0.472011, gth = 0.446086, sct = 0.26023
side = 1640, ath = 0.318731, cmp = 0.439822, gth = 0.415249, sct = 0.240509
side = 1660, ath = 0.296772, cmp = 0.403059, gth = 0.381755, sct = 0.226274
side = 1680, ath = 0.305608, cmp = 0.417411, gth = 0.394899, sct = 0.232142
side = 1700, ath = 0.351228, cmp = 0.472743, gth = 0.448557, sct = 0.269403
side = 1720, ath = 0.297071, cmp = 0.404145, gth = 0.382651, sct = 0.226244
side = 1740, ath = 0.304805, cmp = 0.419813, gth = 0.396509, sct = 0.23028
side = 1760, ath = 0.296771, cmp = 0.405737, gth = 0.383782, sct = 0.225288
side = 1780, ath = 0.327593, cmp = 0.448335, gth = 0.423988, sct = 0.248518
side = 1800, ath = 0.330354, cmp = 0.45167, gth = 0.427224, sct = 0.250772
side = 1820, ath = 0.316145, cmp = 0.426457, gth = 0.404462, sct = 0.242134
side = 1840, ath = 0.329234, cmp = 0.445622, gth = 0.422353, sct = 0.251589
side = 1860, ath = 0.331691, cmp = 0.443766, gth = 0.421562, sct = 0.25545
side = 1880, ath = 0.324194, cmp = 0.446496, gth = 0.421712, sct = 0.244931
side = 1900, ath = 0.327343, cmp = 0.447522, gth = 0.423308, sct = 0.248499
side = 1920, ath = 0.255563, cmp = 0.348348, gth = 0.329698, sct = 0.194389
side = 1940, ath = 0.328085, cmp = 0.449359, gth = 0.424889, sct = 0.248763
side = 1960, ath = 0.338138, cmp = 0.460568, gth = 0.435971, sct = 0.257318
side = 1980, ath = 0.292839, cmp = 0.396281, gth = 0.375605, sct = 0.223808
side = 2000, ath = 0.338576, cmp = 0.464467, gth = 0.439032, sct = 0.25645
